t,i=1,DISR,IO:EXT,IOPL:EXT,OQ:3,OQ:4,OO:3,OO:4,IS:3,IS:4,ISPL:3,ISPL:4,RM:3,RM:4,OS:EXT,DMFS,FR,IL,BO:EXT,DI:EXT,HC,SC,ITHC,REV,TC,i=2,DISR,IO:EXT,IOPL:EXT,OQ:3,OO:3,IS:3,ISPL:3,RM:3,OS:EXT,DMFS,FR,IL,BO:EXT,DI:EXT,HC,SC,ITHC,REV,TC,i=3,DISR,IO:1,IO:2,IOPL:1,IOPL:2,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,OS:2,DMFS,FR,IL,BO:1,BO:2,DI:1,DI:2,HC,SC,ITHC,REV,TC,i=4,DISR,IO:1,IOPL:1,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,DMFS,FR,IL,BO:1,DI:1,HC,SC,ITHC,REV,TC
0,,False,13,[],13,13,13,13,0,0,"[0, 13]","[0, 10]",0,0,13,13.0,1.0,17,0,0,34,0,0.0,0,34.0,,False,9,[],9,9,0,"[0, 0]",0,9,9.0,1.0,16,0,0,32,0,0.0,0,32.0,,False,13,0,[],[9],13,0,13,[],0,13,0,13.0,1.0,10,0,0,0,0,10,0,13,0,23,,False,13,[],13,13,0,[13],0,10,10.0,0.7692307692307693,-3,3,0,0,0,10,0,10
1,,False,10,[],10,10,23,23,0,0,"[13, 10]","[10, 13.0]",0,0,10,10.0,1.0,7,0,0,14,0,0.0,0,14.0,,False,9,[],9,18,0,"[9, 0]",0,9,9.0,1.0,7,0,0,14,0,0.0,0,14.0,,False,10,9,[],[9],19,0,19,[],0,10,9,19.0,1.0,10,0,0,0,0,10,0,32,0,42,,False,10,[],10.0,10.0,13,[10.0],0,13.0,10.0,0.8695652173913043,0,0,0,0,0,23.0,0.0,23.0
2,,False,9,[],9,9,19,22,13,10,"[10, 9]","[13.0, 9]",3,0,9,9.0,1.0,8,0,0,19,0,0.0,0,19.0,,False,13,[],13,22,9,"[9, 0]",0,13,13.0,1.0,3,0,0,6,0,0.0,0,6.0,,False,9,9,[],[13],18,0,18,[],0,9,9,18.0,1.0,10,0,0,0,0,10,0,28,0,38,,False,9,[],9.0,9.0,10.0,[9.0],0.0,9,9.0,0.90625,1.0,0,0,1.0,0,22.0,0,23.0
3,,False,6,[],6,6,15,15.0,10,13.0,"[9, 6]","[9, 6]",0.0,0.0,6,6.0,1.0,15.0,0,0,30.0,0,0.0,0,30.0,,False,14,[],14,27,9,"[13, 0]",0,12,12.0,0.9555555555555556,-2,2,0,0,20,0.0,0,20.0,,False,6,13,[],[14],19,0,19,[],0,6,13,19.0,1.0,10,0,0,0,0,10,0,28,0,38,,False,6,[],6.0,6.0,9.0,[6.0],0.0,6,6.0,0.9210526315789473,4.0,0,0,4.0,0,15.0,0,19.0
4,,False,11,[],11.0,11.0,17.0,17.0,9,9.0,"[6, 11.0]","[6, 10.0]",0.0,0.0,11,11.0,1.0,13.0,0,0,26.0,0,0.0,0,26.0,,False,14,[],14,28,13,"[14, 0]",0,13.0,11.0,0.9152542372881356,-3,3.0,0,0,30,0.0,0.0,30.0,,False,11.0,14,[],[14],25.0,0.0,25.0,[],0.0,11.0,14,25.0,1.0,10.0,0,0,0,0,10.0,0,31.0,0.0,41.0,,False,11.0,[],11.0,11.0,6.0,[11.0],0.0,10.0,10.0,0.9183673469387755,-1.0,1.0,0,0,0.0,16.0,0.0,16.0
5,,False,11,[],11.0,11.0,22.0,22.0,6,6.0,"[11.0, 11.0]","[10.0, 11.0]",0.0,0.0,11,11.0,1.0,8.0,0,0,16.0,0,0.0,0,16.0,,False,9,[],9,23,14,"[14, 0]",0,12.0,9.0,0.9264705882352942,2,0.0,0,4,0,0.0,0.0,4.0,,False,11.0,14,[],[9],25.0,0.0,25.0,[],0.0,11.0,14,25.0,1.0,10.0,0,0,0,0,10.0,0,36.0,0.0,46.0,,False,11.0,[],11.0,11.0,11.0,[11.0],0.0,11.0,10.0,0.9166666666666666,-1.0,1.0,0,0,0.0,21.0,0.0,21.0
6,,False,10,[],10.0,10.0,21.0,22.0,11.0,10.0,"[11.0, 10.0]","[11.0, 11.0]",1.0,0.0,10,10.0,1.0,8.0,0,0,17.0,0,0.0,0,17.0,,False,8,[],8,17,14,"[9, 0]",0,8.0,8.0,0.9342105263157895,8,0.0,0,16,0,0.0,0.0,16.0,,False,10.0,9,[],[8],19.0,0.0,19.0,[],0.0,10.0,9,19.0,1.0,10.0,0,0,0,0,10.0,0,30.0,0.0,40.0,,False,10.0,[],10.0,10.0,11.0,[10.0],0.0,11.0,10.0,0.9285714285714286,0.0,0.0,0,0,0,22.0,0.0,22.0
7,,False,15,[],15.0,15.0,25.0,26.0,11.0,11.0,"[10.0, 15.0]","[11.0, 10.0]",1.0,0.0,15,15.0,1.0,4.0,0,0,9.0,0,0.0,0,9.0,,False,9,[],9,17,9,"[8, 0]",0,9.0,9.0,0.9411764705882353,8,0.0,0,16,0,0.0,0.0,16.0,,False,15.0,8,[],[9],23.0,0.0,23.0,[],0.0,15.0,8,23.0,1.0,10.0,0,0,0,0,10.0,0,33.0,0.0,43.0,,False,15.0,[],15.0,15.0,10.0,[15.0],0.0,10.0,10.0,0.8823529411764706,-5.0,5.0,0,0,0.0,21.0,0.0,21.0
8,,False,17,[],17.0,17.0,32.0,32.0,10.0,11.0,"[15.0, 17.0]","[10.0, 15.0]",0.0,0.0,15.0,15.0,0.9803921568627451,-2.0,2.0,0,0.0,20.0,0.0,0.0,20.0,,False,12,[],12,21,8,"[9, 0]",0,12.0,12.0,0.9484536082474226,4,0.0,0,8,0,0.0,0.0,8.0,,False,17.0,9,[],[12],26.0,0.0,26.0,[],0.0,17.0,9,26.0,1.0,10.0,0,0,0,0,10.0,0,41.0,0.0,51.0,,False,17.0,[],17.0,17.0,15.0,[17.0],0.0,15.0,10.0,0.8333333333333334,-7.0,7.0,0,0,0.0,25.0,0.0,25.0
9,,False,16,[],16.0,16.0,33.0,38.0,15.0,10.0,"[17.0, 16.0]","[15.0, 17.0]",5.0,0.0,10.0,8.0,0.9152542372881356,-8.0,8.0,0,5.0,80.0,0.0,0.0,85.0,,False,7,[],7,19,9,"[12, 0]",0,7.0,7.0,0.9519230769230769,6,0.0,0,12,0,0.0,0.0,12.0,,False,16.0,12,[],[7],28.0,0.0,28.0,[],0.0,16.0,12,28.0,1.0,10.0,0,0,0,0,10.0,0,45.0,0.0,55.0,,False,16.0,[],16.0,16.0,17.0,[16.0],0.0,17.0,10.0,0.8050847457627118,-6.0,6.0,0,0,0.0,32.0,0.0,32.0
